Time [s],Value,Parity Error,Framing Error
3.538130080000000,0x20,,
3.538216480000000,0x55,,
3.538303040000000,0x74,,
3.538389440000000,0x20,,
3.538475840000000,0x7B,,
3.543110080000000,0x01,,
3.543196800000000,0x02,,
3.543283360000000,0xFD,,
3.543370080000000,0x65,,
3.543456960000000,0x6E,,
3.543543520000000,0x69,,
3.543630240000000,0x6D,,
3.543716960000000,0x20,,
3.543803520000000,0x61,,
3.543890240000000,0x64,,
3.543976800000000,0x20,,
3.544063520000000,0x6D,,
3.544150080000000,0x69,,
3.544236800000000,0x6E,,
3.544323360000000,0x69,,
3.544409920000000,0x6D,,
3.544496640000000,0x20,,
3.544583200000000,0x76,,
3.544669760000000,0x65,,
3.544756480000000,0x6E,,
3.544843200000000,0x69,,
3.544929760000000,0x61,,
3.545016640000000,0x6D,,
3.545103200000000,0x2C,,
3.545189920000000,0x20,,
3.545276640000000,0x71,,
3.545363360000000,0x75,,
3.545450080000000,0x69,,
3.545536800000000,0x73,,
3.545623360000000,0x20,,
3.545709920000000,0x0A,,
3.545796480000000,0x6E,,
3.545883040000000,0x6F,,
3.545969600000000,0x73,,
3.546056160000000,0x74,,
3.546142880000000,0x72,,
3.546229440000000,0x75,,
3.546316000000000,0x64,,
3.546402720000000,0x20,,
3.546489280000000,0x65,,
3.546575840000000,0x78,,
3.546662560000000,0x65,,
3.546749280000000,0x72,,
3.546835840000000,0x63,,
3.546922560000000,0x69,,
3.547009120000000,0x74,,
3.547095840000000,0x61,,
3.547182560000000,0x74,,
3.547269280000000,0x69,,
3.547355840000000,0x6F,,
3.547442560000000,0x6E,,
3.547529280000000,0x20,,
3.547615840000000,0x75,,
3.547702560000000,0x6C,,
3.547789280000000,0x6C,,
3.547875840000000,0x61,,
3.547962560000000,0x6D,,
3.548049120000000,0x63,,
3.548135840000000,0x6F,,
3.548222400000000,0x20,,
3.548309120000000,0x6C,,
3.548395840000000,0x61,,
3.548482400000000,0x62,,
3.548569120000000,0x6F,,
3.548655680000000,0x72,,
3.548742400000000,0x69,,
3.548829120000000,0x73,,
3.548915680000000,0x20,,
3.549002240000000,0x6E,,
3.549088800000000,0x69,,
3.549175360000000,0x73,,
3.549261920000000,0x69,,
3.549348320000000,0x20,,
3.549434880000000,0x75,,
3.549521440000000,0x74,,
3.549607840000000,0x20,,
3.549694400000000,0x61,,
3.549780960000000,0x6C,,
3.549867520000000,0x69,,
3.549953920000000,0x71,,
3.550040480000000,0x75,,
3.550126880000000,0x69,,
3.550213440000000,0x70,,
3.550299840000000,0x20,,
3.550386240000000,0x65,,
3.550472800000000,0x78,,
3.550559200000000,0x20,,
3.550645760000000,0x65,,
3.550732320000000,0x61,,
3.550818880000000,0x20,,
3.550905600000000,0x63,,
3.550992160000000,0x6F,,
3.551078720000000,0x6D,,
3.551165280000000,0x6D,,
3.551251840000000,0x6F,,
3.551338400000000,0x64,,
3.551424800000000,0x6F,,
3.551511360000000,0x20,,
3.551597760000000,0x63,,
3.551684160000000,0x6F,,
